Humidity (%),Temperature (C),Light Levels (lux),Commands,Time of Day,Day of Week
67.2702994208898,4.944814261683497,77790.83448933864,ac_off,14:15,Sun
79.66813971913723,74.08571676918994,20686.363452619946,light_on,21:15,Thu
25.046789879249896,47.83927301736861,104687.34760257779,ac_off,19:30,Sat
62.48740996069989,31.839018103644392,73573.94868830898,ac_off,22:30,Tue
57.17459831437487,-21.277763146907617,18864.46602683451,tv_off,04:30,Thu
83.28303767882711,-21.280657559655683,115480.56689774482,ac_off,01:45,Tue
90.60870604812605,-33.029966539816066,62203.85560023847,ac_off,19:25,Sat
1.2156771477386807,63.941137492992226,8747.8142245986,light_on,14:30,Wed
67.40199190587927,32.133801409185054,75219.94852980807,ac_off,06:12,Sun
5.1835799119729025,44.96870933552546,30383.868841537227,light_off,01:30,Fri
54.88586650773559,-37.5298606845037,96443.2142252763,ac_off,05:30,Tue
28.76327290436782,76.38918225943932,98138.64882794287,ac_off,23:51,Mon
30.67765995221412,59.893116896050614,117473.68270255942,ac_off,20:30,Sat
35.29585034523566,-14.519306718606863,60224.343722940444,ac_off,22:15,Fri
62.12924490496101,-18.181003935147928,54594.82556732846,light_off,22:45,Mon
33.40499656687692,17.99145881758794,90417.07265357768,light_off,21:30,Wed
73.26990505902803,3.4909308448554697,15896.478761031187,ac_off,04:36,Tue
40.45273855738697,22.970771795868544,65629.8616551749,tv_off,11:31,Sun
6.835320030995861,11.833402237053889,65549.71201570211,ac_off,22:45,Fri
78.37598424841073,5.052503176234971,10736.774737246466,ac_off,08:15,Wed
28.5758324592706,33.42234736668554,50158.09026082963,light_off,15:30,Thu
43.276687959926264,23.26073672175498,102394.17582806424,ac_off,20:45,Sun
68.54438832219016,4.94264217577382,102738.43463935923,light_off,12:45,Thu
33.2456157148712,3.9634211952430007,11908.51979036172,ac_off,12:30,Fri
5.658565614671563,14.72839810604431,10886.505929739702,ac_off,21:45,Sat
37.39210470128136,54.22111536716163,31523.457240232234,light_on,04:13,Fri
94.44485826943034,16.03914614099683,104971.92750647922,ac_off,12:45,Sun
64.17343972985582,21.708132609633395,15468.310208819874,light_off,07:09,Wed
67.1479148667207,31.089748263445102,86399.61631529355,ac_off,19:15,Sat
63.22821536376399,34.425950473600274,12139.874353572386,ac_off,09:11,Mon
19.899213895943678,32.9053822281726,74776.54244973905,ac_off,10:30,Tue
41.833386410228016,19.537105157525016,42728.07589429738,ac_off,05:23,Mon
75.09397983633183,32.193808841766455,94669.67555590405,light_off,02:45,Sat
10.137289755315916,73.86626447039998,28042.853859043633,light_off,19:15,Sat
27.785277608971228,75.87584396894712,76704.21952679518,ac_on,04:00,Wed
27.631910846585363,57.007681773975335,28281.904149106194,light_on,16:30,Sun
43.2018927594506,3.4463476991955204,85639.23397345845,ac_off,08:11,Fri
98.0368740942185,28.279346319233937,104841.36414728986,light_off,23:15,Fri
6.750254668382194,42.10796318145883,15216.215895211204,light_on,18:00,Sun
51.870099438059505,12.818299248752155,103991.48263146041,light_off,19:30,Wed
17.936468201221047,25.355411818626543,71229.03052971575,ac_off,04:30,Fri
97.06765454097442,19.42122921335242,15253.258904042877,light_off,10:30,Tue
11.33035047274642,35.87337746617379,51305.022643165445,light_off,17:15,Mon
40.36010023615913,69.11844824945385,19303.235218211747,light_on,06:45,Mon
73.78849848346061,8.94640220799797,84041.74666398834,ac_off,23:30,Sat
70.45544280274453,39.50267412247784,91064.17613015395,ac_off,03:45,Tue
42.272863689393226,2.5946708692706864,12695.582432735875,ac_off,08:30,Mon
